Subject,Volume,Marker,Method,x,y,z
MS_04,3,R-PCG,Pre-MoCo,45.807,121.156,95.909
MS_04,3,R-SFG,MC-MoCo,98.975,155.952,118.963
MS_04,3,R-SFG,MCFLIRT,97.779,154.841,119.076
MS_04,3,R-SFG,Pre-MoCo,98.053,156.022,118.926
MS_04,4,L-MFG,MC-MoCo,142.917,164.133,86.961
MS_04,4,L-MFG,MCFLIRT,143.909,164.957,87.903
MS_04,4,L-MFG,Pre-MoCo,142.873,164.863,88.000
MS_04,4,LR-SCCG,MC-MoCo,98.893,160.452,62.549
MS_04,4,LR-SCCG,MCFLIRT,98.372,160.827,63.655
MS_04,4,LR-SCCG,Pre-MoCo,98.863,161.803,65.466
MS_04,4,R-PCG,MC-MoCo,45.933,121.819,95.923
MS_04,4,R-PCG,MCFLIRT,46.061,121.078,95.155
MS_04,4,R-PCG,Pre-MoCo,47.927,122.836,95.955
MS_04,4,R-SFG,MC-MoCo,99.006,155.968,118.963
MS_04,4,R-SFG,MCFLIRT,97.569,154.841,118.539
MS_04,4,R-SFG,Pre-MoCo,99.640,154.802,118.046
MS_04,5,L-MFG,MC-MoCo,142.917,164.088,86.938
MS_04,5,L-MFG,MCFLIRT,144.437,164.855,86.855
MS_04,5,L-MFG,Pre-MoCo,143.962,163.968,89.039
MS_04,5,LR-SCCG,MC-MoCo,98.893,160.452,62.549
MS_04,5,LR-SCCG,MCFLIRT,98.372,161.149,64.240
MS_04,5,LR-SCCG,Pre-MoCo,97.954,161.803,66.173
MS_04,5,R-PCG,MC-MoCo,45.933,121.819,95.844
MS_04,5,R-PCG,MCFLIRT,45.947,121.130,94.520
MS_04,5,R-PCG,Pre-MoCo,45.986,120.096,95.219
MS_04,5,R-SFG,MCFLIRT,97.294,154.841,118.631
MS_04,5,R-SFG,Pre-MoCo,97.874,154.594,118.940
MS_05,1,L-MFG,MC-MoCo,40.797,46.982,18.793
MS_05,1,L-MFG,MCFLIRT,40.863,47.214,19.677
MS_05,1,L-MFG,Pre-MoCo,40.820,47.610,18.563
MS_05,1,LR-SCCG,MC-MoCo,4.913,30.479,-23.207
MS_05,1,LR-SCCG,MCFLIRT,4.928,30.558,-22.632
MS_05,1,LR-SCCG,Pre-MoCo,5.085,30.825,-23.469
MS_05,1,R-PCG,MC-MoCo,-36.386,2.043,6.509
MS_05,1,R-PCG,MCFLIRT,-36.729,1.364,6.927
MS_05,1,R-PCG,Pre-MoCo,-35.251,1.478,6.397
MS_05,1,R-SFG,MC-MoCo,-9.009,56.333,24.576
MS_05,1,R-SFG,MCFLIRT,-7.993,56.092,24.640
MS_05,1,R-SFG,Pre-MoCo,-8.747,56.935,22.968
MS_05,2,L-MFG,MC-MoCo,40.774,47.341,18.683
MS_05,2,L-MFG,MCFLIRT,40.863,46.807,19.728
MS_05,2,L-MFG,Pre-MoCo,40.372,46.894,18.981
MS_05,2,LR-SCCG,MC-MoCo,4.913,30.604,-23.207
MS_05,2,LR-SCCG,MCFLIRT,4.987,30.241,-22.628
MS_05,2,LR-SCCG,Pre-MoCo,4.709,30.438,-22.795
MS_05,2,R-PCG,MC-MoCo,-36.330,1.659,6.696
MS_05,2,R-PCG,MCFLIRT,-36.967,1.268,6.867
MS_05,2,R-PCG,Pre-MoCo,-36.381,1.390,6.750
MS_05,2,R-SFG,MC-MoCo,-8.983,56.444,24.277
MS_05,2,R-SFG,MCFLIRT,-8.189,55.798,24.723
MS_05,2,R-SFG,Pre-MoCo,-8.782,56.302,23.929
MS_05,3,L-MFG,MC-MoCo,40.774,47.231,18.683
MS_05,3,L-MFG,MCFLIRT,40.863,46.603,19.423
MS_05,3,L-MFG,Pre-MoCo,40.715,46.374,19.193
MS_05,3,LR-SCCG,MC-MoCo,4.788,30.228,-23.207
MS_05,3,LR-SCCG,MCFLIRT,4.570,29.949,-22.513
MS_05,3,LR-SCCG,Pre-MoCo,4.709,29.877,-22.001
MS_05,3,R-PCG,MC-MoCo,-36.386,1.604,6.619
MS_05,3,R-PCG,MCFLIRT,-37.265,0.691,6.867
MS_05,3,R-PCG,Pre-MoCo,-36.452,0.431,7.985
MS_05,3,R-SFG,MC-MoCo,-8.828,56.424,24.277
MS_05,3,R-SFG,MCFLIRT,-8.189,55.701,24.723
MS_05,3,R-SFG,Pre-MoCo,-8.782,55.459,24.491
MS_05,4,L-MFG,MC-MoCo,40.774,47.560,18.574
MS_05,4,L-MFG,MCFLIRT,40.863,46.348,19.372
MS_05,4,L-MFG,Pre-MoCo,40.715,46.246,19.703
MS_05,4,LR-SCCG,MC-MoCo,4.663,30.228,-23.207
MS_05,4,LR-SCCG,MCFLIRT,4.570,30.177,-21.977
MS_05,4,LR-SCCG,Pre-MoCo,4.566,30.328,-20.534
MS_05,4,R-PCG,MC-MoCo,-36.386,1.823,6.948
MS_05,4,R-PCG,MCFLIRT,-37.444,0.691,6.688
MS_05,4,R-PCG,Pre-MoCo,-36.381,0.508,9.044
MS_05,4,R-SFG,MC-MoCo,-8.828,56.515,24.496
MS_05,4,R-SFG,MCFLIRT,-8.189,55.930,24.978
MS_05,4,R-SFG,Pre-MoCo,-8.782,55.740,24.210
MS_05,5,L-MFG,MC-MoCo,40.774,47.341,18.793
MS_05,5,L-MFG,MCFLIRT,40.446,46.692,19.441
MS_05,5,L-MFG,Pre-MoCo,40.372,46.756,20.213
MS_05,5,LR-SCCG,MC-MoCo,4.788,30.239,-23.256
MS_05,5,LR-SCCG,MCFLIRT,4.510,30.190,-21.812
MS_05,5,LR-SCCG,Pre-MoCo,4.302,31.006,-20.308
MS_05,5,R-PCG,MC-MoCo,-36.105,1.714,6.619
MS_05,5,R-PCG,MCFLIRT,-38.695,1.386,6.629
MS_05,5,R-PCG,Pre-MoCo,-36.452,-0.375,8.868
MS_05,5,R-SFG,MC-MoCo,-8.647,56.515,24.496
MS_05,5,R-SFG,MCFLIRT,-8.629,55.994,25.043
MS_05,5,R-SFG,Pre-MoCo,-8.309,55.740,26.178
MS_06,1,L-MFG,MC-MoCo,143.010,157.127,95.039
MS_06,1,L-MFG,MCFLIRT,144.034,156.964,94.927
MS_06,1,L-MFG,Pre-MoCo,143.926,157.040,94.935
MS_06,1,LR-SCCG,MC-MoCo,102.982,151.030,64.042
MS_06,1,LR-SCCG,MCFLIRT,103.047,151.055,63.841
MS_06,1,LR-SCCG,Pre-MoCo,103.939,150.980,64.031
MS_06,1,R-PCG,MC-MoCo,63.967,106.237,95.016
MS_06,1,R-PCG,MCFLIRT,64.044,106.940,95.017
MS_06,1,R-PCG,Pre-MoCo,64.012,106.969,94.966
MS_06,1,R-SFG,MC-MoCo,89.023,132.991,127.919
MS_06,1,R-SFG,MCFLIRT,89.015,134.055,127.975
MS_06,1,R-SFG,Pre-MoCo,89.096,133.892,127.948
MS_06,2,L-MFG,MC-MoCo,143.010,157.092,95.011
MS_06,2,L-MFG,MCFLIRT,144.034,156.915,95.460
MS_06,2,L-MFG,Pre-MoCo,143.950,156.045,94.869
MS_06,2,LR-SCCG,MC-MoCo,102.982,151.090,63.681
MS_06,2,LR-SCCG,MCFLIRT,103.047,151.011,63.074
MS_06,2,LR-SCCG,Pre-MoCo,103.087,151.065,63.691
MS_06,2,R-PCG,MC-MoCo,63.967,106.340,94.936
MS_06,2,R-PCG,MCFLIRT,62.978,105.955,95.017
MS_06,2,R-PCG,Pre-MoCo,62.973,105.931,94.966
MS_06,2,R-SFG,MC-MoCo,89.023,133.156,127.327
MS_06,2,R-SFG,MCFLIRT,89.015,133.114,127.975
MS_06,2,R-SFG,Pre-MoCo,89.096,133.019,126.992
MS_06,3,L-MFG,MC-MoCo,143.154,157.127,95.111
MS_06,3,L-MFG,MCFLIRT,144.114,157.621,95.681
MS_06,3,L-MFG,Pre-MoCo,143.950,154.918,94.869
MS_06,3,LR-SCCG,MC-MoCo,102.982,151.030,63.952
MS_06,3,LR-SCCG,MCFLIRT,103.047,150.967,63.841
MS_06,3,LR-SCCG,Pre-MoCo,103.945,150.266,64.145
MS_06,3,R-PCG,MC-MoCo,63.967,106.153,94.674
MS_06,3,R-PCG,MCFLIRT,63.590,105.955,94.531
MS_06,3,R-PCG,Pre-MoCo,63.937,105.931,93.966
MS_06,3,R-SFG,MC-MoCo,89.311,133.449,127.327
MS_06,3,R-SFG,MCFLIRT,89.015,133.076,127.636
MS_06,3,R-SFG,Pre-MoCo,89.915,132.977,126.451
MS_06,4,L-MFG,MC-MoCo,143.118,157.127,95.003
MS_06,4,L-MFG,MCFLIRT,144.034,156.964,95.969
MS_06,4,L-MFG,Pre-MoCo,143.379,154.852,94.537
MS_06,4,LR-SCCG,MC-MoCo,102.982,151.120,63.892
MS_06,4,LR-SCCG,MCFLIRT,103.061,150.968,63.841
MS_06,4,LR-SCCG,Pre-MoCo,102.945,150.089,64.145
MS_06,4,R-PCG,MC-MoCo,63.967,106.415,94.711
MS_06,4,R-PCG,MCFLIRT,64.079,105.864,94.952
MS_06,4,R-PCG,Pre-MoCo,64.289,105.931,93.535
MS_06,4,R-SFG,MC-MoCo,89.188,133.449,127.573
MS_06,4,R-SFG,MCFLIRT,89.015,132.850,128.201
MS_06,4,R-SFG,Pre-MoCo,88.800,132.187,126.326
MS_06,5,L-MFG,MC-MoCo,143.118,157.127,95.039
MS_06,5,L-MFG,MCFLIRT,144.449,156.964,95.681
MS_06,5,L-MFG,Pre-MoCo,142.932,154.852,93.841
MS_06,5,LR-SCCG,MC-MoCo,102.982,151.000,63.922
MS_06,5,LR-SCCG,MCFLIRT,103.833,151.055,63.841
MS_06,5,LR-SCCG,Pre-MoCo,103.513,150.089,63.066
MS_06,5,R-PCG,MC-MoCo,63.967,106.078,94.899
MS_06,5,R-PCG,MCFLIRT,63.893,106.962,94.952
MS_06,5,R-PCG,Pre-MoCo,63.970,104.934,94.006
MS_06,5,R-SFG,MC-MoCo,89.175,133.438,127.573
MS_06,5,R-SFG,MCFLIRT,89.015,132.963,127.071
MS_06,5,R-SFG,Pre-MoCo,88.988,131.976,125.206
MS_07,1,L-MFG,MC-MoCo,137.997,179.911,92.129
MS_07,1,L-MFG,MCFLIRT,137.995,180.108,92.031
MS_07,1,L-MFG,Pre-MoCo,138.074,179.706,91.881
MS_07,1,LR-SCCG,MC-MoCo,104.022,145.036,65.938
MS_07,1,LR-SCCG,MCFLIRT,103.950,144.935,65.055
MS_07,1,LR-SCCG,Pre-MoCo,104.971,145.188,65.033
MS_07,1,R-PCG,MC-MoCo,60.985,151.948,84.919
MS_07,1,R-PCG,MCFLIRT,61.115,151.992,85.935
MS_07,1,R-PCG,Pre-MoCo,61.926,152.047,84.977
MS_07,1,R-SFG,MC-MoCo,133.015,137.948,122.001
MS_07,1,R-SFG,MCFLIRT,131.963,137.093,122.925
MS_07,1,R-SFG,Pre-MoCo,132.980,138.082,122.032
MS_07,2,L-MFG,MC-MoCo,137.997,179.947,92.129
MS_07,2,L-MFG,MCFLIRT,138.033,179.534,91.983
MS_07,2,L-MFG,Pre-MoCo,137.495,179.706,91.918
MS_07,2,LR-SCCG,MC-MoCo,104.022,145.007,65.938
MS_07,2,LR-SCCG,MCFLIRT,104.371,144.935,64.634
MS_07,2,LR-SCCG,Pre-MoCo,103.932,144.985,65.340
MS_07,2,R-PCG,MC-MoCo,61.335,151.948,84.919
MS_07,2,R-PCG,MCFLIRT,60.755,151.077,86.025
MS_07,2,R-PCG,Pre-MoCo,60.903,152.006,84.977
MS_07,2,R-SFG,MC-MoCo,132.994,137.995,122.001
MS_07,2,R-SFG,MCFLIRT,131.963,137.068,122.468
MS_07,2,R-SFG,Pre-MoCo,132.628,137.627,122.032
MS_07,3,L-MFG,MC-MoCo,137.961,179.947,92.129
MS_07,3,L-MFG,MCFLIRT,137.481,179.065,91.963
MS_07,3,L-MFG,Pre-MoCo,137.791,179.706,92.918
MS_07,3,LR-SCCG,MC-MoCo,104.022,144.921,65.938
MS_07,3,LR-SCCG,MCFLIRT,103.992,144.004,64.634
MS_07,3,LR-SCCG,Pre-MoCo,103.971,144.985,65.917
MS_07,3,R-PCG,MC-MoCo,61.116,151.904,84.919
MS_07,3,R-PCG,MCFLIRT,60.851,151.253,84.983
MS_07,3,R-PCG,Pre-MoCo,60.903,151.511,85.510
MS_07,3,R-SFG,MC-MoCo,132.994,138.041,122.001
MS_07,3,R-SFG,MCFLIRT,131.949,137.042,122.351
MS_07,3,R-SFG,Pre-MoCo,132.478,136.984,122.920
MS_07,4,L-MFG,MC-MoCo,137.997,179.911,92.129
MS_07,4,L-MFG,MCFLIRT,137.481,179.044,91.911
MS_07,4,L-MFG,Pre-MoCo,137.037,179.764,93.578
MS_07,4,LR-SCCG,MC-MoCo,104.022,145.036,65.938
MS_07,4,LR-SCCG,MCFLIRT,103.951,143.963,64.601
MS_07,4,LR-SCCG,Pre-MoCo,103.317,144.985,66.572
MS_07,4,R-PCG,MC-MoCo,61.072,151.861,84.919
MS_07,4,R-PCG,MCFLIRT,61.662,151.316,84.983
MS_07,4,R-PCG,Pre-MoCo,60.903,150.941,84.940
MS_07,4,R-SFG,MC-MoCo,132.947,137.901,122.001
MS_07,4,R-SFG,MCFLIRT,131.963,136.560,122.264
MS_07,4,R-SFG,Pre-MoCo,131.980,136.929,122.920
MS_07,5,L-MFG,MC-MoCo,137.855,179.947,92.129
MS_07,5,L-MFG,MCFLIRT,137.481,179.360,92.780
MS_07,5,L-MFG,Pre-MoCo,137.037,178.866,93.819
MS_07,5,LR-SCCG,MC-MoCo,104.022,145.093,65.967
MS_07,5,LR-SCCG,MCFLIRT,103.495,144.583,64.601
MS_07,5,LR-SCCG,Pre-MoCo,103.894,144.985,66.802
MS_07,5,R-PCG,MC-MoCo,61.072,151.861,84.919
MS_07,5,R-PCG,MCFLIRT,61.662,151.824,85.017
MS_07,5,R-PCG,Pre-MoCo,60.970,150.614,85.863
MS_07,5,R-SFG,MC-MoCo,132.947,137.995,122.001
MS_07,5,R-SFG,MCFLIRT,131.898,137.042,121.759
MS_07,5,R-SFG,Pre-MoCo,133.176,137.029,122.920
